region,country,reportyear,population,total_actual_dd,actual_dbd,actual_dcd,total_utilized_dd,utilized_dbd,utilized_dcd,dd_kidney_tx,ld_kidney_tx,total_kidney_tx,dd_liver_tx,domino_liver_tx,ld_liver_tx,total_liver_tx,total_heart,dd_lung_tx,ld_lung_tx,total_lung_tx,pancreas_tx,kidney_pancreas_tx,small_bowel_tx
South-East Asia,Maldives,2002,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2002,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2002,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2002,16,202,202,NA,NA,NA,NA,361,199,560,109,2,0,109,43,NA,NA,57,17,17,0
Europe,Norway,2002,4.5,62,62,NA,NA,NA,NA,115,98,213,25,0,0,25,26,NA,NA,15,17,15,0
Western Pacific,New Zealand,2002,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Philippines,2002,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2002,38.5,490,490,NA,NA,NA,NA,910,25,935,135,NA,13,148,111,NA,NA,NA,12,12,NA
Europe,Portugal,2002,10,217,217,NA,NA,NA,NA,367,23,390,190,32,1,191,13,NA,NA,NA,8,8,NA
America,Paraguay,2002,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2002,22.3,13,13,NA,NA,NA,NA,24,151,175,14,0,2,16,6,NA,NA,NA,NA,NA,NA
Europe,Serbia,2002,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2002,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Sudan,2002,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2002,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Slovenia,2002,2,35,35,NA,NA,NA,NA,55,0,55,11,0,0,11,3,NA,NA,NA,0,0,0
Europe,Slovakia,2002,5.4,37,37,NA,NA,NA,NA,58,15,73,3,NA,NA,3,7,NA,NA,0,1,0,0
Africa,Senegal,2002,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2002,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2002,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,United States of America,2002,288.5,6190,5999,190,NA,NA,NA,NA,NA,NA,NA,NA,358,358,NA,NA,NA,NA,1451,905,108
America,Uruguay,2002,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Uzbekistan,2002,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2002,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2003,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2003,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2003,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Austria,2003,8.1,189,187,2,NA,NA,NA,336,37,373,141,NA,6,147,64,NA,NA,88,33,33,NA
Western Pacific,Australia,2003,19.7,179,178,1,NA,NA,NA,325,217,542,136,NA,1,137,80,NA,NA,70,31,25,NA
Europe,Azerbaijan,2003,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2003,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2003,10.3,237,223,14,NA,NA,NA,413,10,423,239,2,40,279,90,NA,NA,69,29,29,NA
Europe,Bulgaria,2003,7.9,12,12,NA,NA,NA,NA,17,16,33,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA
Western Pacific,Brunei Darussalam,2003,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2003,178.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,152,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bhutan,2003,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2003,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2003,31.5,428,428,0,NA,NA,0,650,403,1053,335,NA,35,370,159,NA,NA,120,63,36,4
Europe,Switzerland,2003,7.2,95,89,6,NA,NA,NA,167,104,271,93,1,0,93,34,NA,NA,31,14,12,0
Western Pacific,China,2003,1304.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2003,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Costa Rica,2003,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2003,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2003,5.4,75,75,0,NA,NA,NA,129,47,176,37,0,2,39,28,NA,NA,49,NA,NA,NA
America,Dominican Republic,2003,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2003,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2003,41.1,1443,1387,56,NA,NA,NA,1991,60,2051,1006,11,31,1037,290,NA,NA,145,70,67,1
Europe,Finland,2003,5.2,53,53,NA,NA,NA,NA,156,7,163,43,NA,NA,43,22,NA,NA,7,NA,NA,NA
Western Pacific,Fiji,2003,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2003,5.1,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Greece,2003,11,71,71,NA,NA,NA,NA,134,79,213,24,NA,NA,24,5,NA,NA,NA,NA,NA,NA
America,Guatemala,2003,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2003,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2003,4.4,39,39,NA,NA,NA,NA,73,4,77,28,NA,1,29,7,NA,NA,NA,8,7,NA
South-East Asia,Indonesia,2003,219.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2003,4,80,80,NA,NA,NA,NA,127,NA,127,32,NA,NA,32,15,NA,NA,NA,6,6,NA
Eastern Mediterranean,Iran (Islamic Republic of),2003,68.9,87,87,0,NA,NA,NA,167,1474,1641,49,0,0,49,21,NA,NA,2,0,0,0
Europe,Iceland,2003,0.3,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2003,57.4,1042,1042,NA,NA,NA,NA,1489,135,1624,837,NA,30,867,317,NA,NA,65,76,53,3
Eastern Mediterranean,Jordan,2003,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2003,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2003,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Kuwait,2003,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2003,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2003,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2003,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2003,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2003,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2003,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2003,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2003,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2003,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2003,16.1,239,141,98,NA,NA,NA,406,195,601,101,1,NA,101,41,NA,NA,35,16,16,NA
Europe,Norway,2003,4.5,87,86,1,NA,NA,NA,154,87,241,39,0,0,39,46,NA,NA,20,13,11,0
Western Pacific,New Zealand,2003,3.9,40,40,NA,NA,NA,NA,67,43,110,34,NA,NA,34,25,NA,NA,23,6,6,NA
Western Pacific,Philippines,2003,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2003,38.6,525,525,NA,NA,NA,NA,984,44,1028,156,NA,12,168,122,NA,NA,2,14,14,NA
Europe,Portugal,2003,10.1,190,190,NA,NA,NA,NA,305,42,347,172,39,6,178,20,NA,NA,NA,10,10,NA
America,Paraguay,2003,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2003,22.3,8,8,0,NA,NA,NA,16,150,166,7,0,6,13,2,NA,NA,0,0,0,0
Europe,Serbia,2003,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2003,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Sudan,2003,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2003,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Slovenia,2003,2,28,28,NA,NA,NA,NA,43,NA,43,9,NA,NA,9,3,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2003,5.4,46,46,NA,NA,NA,NA,80,24,104,2,NA,NA,2,8,NA,NA,NA,1,1,NA
Africa,Senegal,2003,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2003,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2003,71.3,105,103,2,NA,NA,NA,177,428,605,85,NA,81,166,23,NA,NA,NA,9,5,1
America,United States of America,2003,294,6457,6187,270,NA,NA,NA,8664,6464,15128,5351,NA,320,5671,2084,NA,NA,1114,1373,871,116
America,Uruguay,2003,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Uzbekistan,2003,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2003,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2004,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2004,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2004,38.9,403,403,NA,NA,NA,NA,573,188,761,197,NA,50,247,73,NA,NA,31,9,9,NA
Europe,Austria,2004,8.1,185,182,3,NA,NA,NA,348,38,386,126,NA,6,132,64,NA,NA,78,35,30,NA
Western Pacific,Australia,2004,19.9,218,214,4,NA,NA,NA,405,246,651,176,NA,1,177,78,NA,NA,98,28,23,NA
Europe,Azerbaijan,2004,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2004,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2004,10.3,227,222,5,NA,NA,NA,353,19,372,204,1,25,229,77,NA,NA,63,23,18,NA
Europe,Bulgaria,2004,7.8,7,7,NA,NA,NA,NA,14,10,24,0,NA,1,1,1,NA,NA,NA,11,11,NA
Western Pacific,Brunei Darussalam,2004,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2004,180.7,1408,1408,NA,NA,NA,NA,1846,1322,3168,780,NA,173,953,195,NA,NA,NA,NA,NA,NA
South-East Asia,Bhutan,2004,2.3,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA
Europe,Belarus,2004,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2004,31.7,414,414,NA,NA,NA,0,603,413,1016,367,NA,53,420,146,NA,NA,135,61,45,1
Europe,Switzerland,2004,7.2,91,85,6,NA,NA,NA,163,81,244,80,2,4,84,29,NA,NA,36,11,10,NA
Western Pacific,China,2004,1313.3,NA,NA,NA,NA,NA,NA,9700,500,10200,2750,NA,150,2900,110,NA,NA,NA,NA,NA,NA
America,Colombia,2004,44.9,258,258,NA,NA,NA,NA,384,82,466,125,NA,6,131,27,NA,NA,NA,NA,NA,NA
America,Costa Rica,2004,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2004,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2004,5.4,64,64,NA,NA,NA,NA,135,52,187,41,NA,1,42,24,NA,NA,28,NA,NA,NA
America,Dominican Republic,2004,8.9,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2004,13.2,40,40,NA,NA,NA,NA,40,32,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2004,41.1,1495,1424,71,NA,NA,NA,2064,62,2126,1022,7,18,1040,294,NA,NA,143,73,61,3
Europe,Finland,2004,5.2,109,109,NA,NA,NA,NA,192,5,197,50,NA,NA,50,21,NA,NA,10,NA,NA,NA
Western Pacific,Fiji,2004,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2004,5.1,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Greece,2004,11,66,66,NA,NA,NA,NA,116,76,192,29,NA,NA,29,6,NA,NA,NA,NA,NA,NA
America,Guatemala,2004,12.7,3,3,NA,NA,NA,NA,6,69,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2004,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2004,4.4,59,59,NA,NA,NA,NA,106,7,113,43,NA,NA,43,8,NA,NA,NA,NA,NA,NA
South-East Asia,Indonesia,2004,222.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2004,4,86,86,NA,NA,NA,NA,143,3,146,45,NA,NA,45,NA,NA,NA,NA,4,4,NA
Eastern Mediterranean,Iran (Islamic Republic of),2004,69.8,114,114,0,NA,NA,NA,207,1563,1770,66,0,0,66,17,NA,NA,2,0,0,0
Europe,Iceland,2004,0.3,5,5,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2004,57.3,1203,1203,NA,NA,NA,NA,1746,135,1881,1016,NA,19,1035,353,NA,NA,85,94,55,6
Eastern Mediterranean,Jordan,2004,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2004,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2004,48,NA,NA,NA,NA,NA,NA,158,686,844,64,NA,480,544,23,NA,NA,3,10,6,NA
Eastern Mediterranean,Kuwait,2004,2.6,NA,NA,NA,NA,NA,NA,28,73,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2004,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2004,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2004,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2004,5.7,NA,NA,NA,NA,NA,NA,NA,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2004,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2004,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2004,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2004,127.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2004,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2004,16.2,247,136,111,NA,NA,NA,423,250,673,106,NA,3,109,32,NA,NA,54,22,18,NA
Europe,Norway,2004,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,New Zealand,2004,3.9,40,40,NA,NA,NA,NA,58,48,106,36,NA,NA,36,6,NA,NA,12,2,2,NA
Western Pacific,Philippines,2004,81.4,NA,NA,NA,NA,NA,NA,15,413,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2004,38.6,562,562,NA,NA,NA,NA,1045,22,1067,181,NA,18,199,105,NA,NA,NA,16,15,NA
Europe,Portugal,2004,10.1,222,222,NA,NA,NA,NA,392,29,421,200,46,5,205,45,NA,NA,NA,12,12,NA
America,Paraguay,2004,6,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA
Europe,Romania,2004,22.3,10,10,NA,NA,NA,NA,19,168,187,7,NA,9,16,4,NA,NA,NA,2,2,NA
Europe,Serbia,2004,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2004,24.9,54,54,0,NA,NA,NA,88,208,296,29,0,41,70,4,NA,NA,3,2,2,0
Eastern Mediterranean,Sudan,2004,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2004,4.3,NA,NA,NA,NA,NA,NA,32,53,85,8,NA,13,21,4,NA,NA,2,NA,NA,NA
Europe,Slovenia,2004,2,36,36,NA,NA,NA,NA,55,NA,55,15,NA,NA,15,3,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2004,5.4,55,55,NA,NA,NA,NA,99,NA,99,NA,NA,2,2,11,NA,NA,NA,NA,NA,NA
Africa,Senegal,2004,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2004,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2004,72.3,136,135,1,NA,NA,NA,243,492,735,113,NA,132,245,33,NA,NA,NA,37,21,1
America,United States of America,2004,297,7150,6757,393,NA,NA,NA,9354,6647,16001,5845,NA,323,6168,2055,NA,NA,1173,1484,880,152
America,Uruguay,2004,3.4,61,61,NA,NA,NA,NA,84,NA,84,NA,NA,NA,NA,10,NA,NA,NA,5,5,NA
Europe,Uzbekistan,2004,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2004,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2005,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2005,3,0,0,0,NA,NA,NA,45,37,82,0,NA,0,0,NA,NA,NA,NA,0,NA,0
America,Argentina,2005,38.7,407,407,NA,NA,NA,NA,607,216,823,208,NA,43,251,NA,NA,NA,20,6,6,NA
Europe,Austria,2005,8.2,203,201,2,NA,NA,NA,371,35,406,133,NA,3,136,NA,NA,NA,90,31,26,NA
Western Pacific,Australia,2005,20.2,204,195,9,NA,NA,NA,373,246,619,164,NA,NA,164,NA,NA,NA,84,33,30,NA
Europe,Azerbaijan,2005,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2005,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2005,10.4,248,238,10,NA,NA,NA,358,32,390,190,3,24,214,NA,NA,NA,63,24,20,NA
Europe,Bulgaria,2005,7.7,6,6,NA,NA,NA,NA,8,16,24,3,NA,5,8,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Brunei Darussalam,2005,0.4,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0
America,Brazil,2005,186.4,1688,1688,NA,NA,NA,NA,1878,1510,3388,872,NA,187,1059,NA,NA,NA,NA,328,328,NA
South-East Asia,Bhutan,2005,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2005,9.8,4,4,NA,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2005,32.3,414,414,NA,NA,NA,0,612,443,1055,421,NA,NA,421,NA,NA,NA,146,87,48,1
Europe,Switzerland,2005,7.3,92,90,2,NA,NA,NA,178,82,260,80,NA,2,82,NA,NA,NA,NA,9,9,1
Western Pacific,China,2005,1315.8,NA,NA,NA,NA,NA,NA,7800,500,8300,3350,NA,200,3550,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2005,45.6,273,273,NA,NA,NA,NA,356,162,518,103,NA,12,115,NA,NA,NA,NA,6,6,2
America,Costa Rica,2005,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2005,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2005,5.4,63,63,NA,NA,NA,NA,121,47,168,41,NA,NA,41,NA,NA,NA,28,NA,NA,NA
America,Dominican Republic,2005,8.9,0,0,NA,NA,NA,NA,NA,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2005,13.2,15,15,NA,NA,NA,NA,24,45,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2005,43.1,1546,1475,71,NA,NA,NA,2113,87,2200,1045,10,25,1070,NA,NA,NA,167,95,82,7
Europe,Finland,2005,5.2,85,85,NA,NA,NA,NA,161,5,166,43,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Fiji,2005,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,NA,0
Europe,Georgia,2005,4.5,NA,NA,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Greece,2005,11.1,89,85,4,NA,NA,NA,167,69,236,34,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
